,Country,Bank,Date,Period,Deposits Market Share,Total Assets Market Share,Loans Market Share,NPLs / Gross Loan Portfolio (GLP),LLR/ NPLs,LLR/GLP,YoY Loan Growth,Regulatory CAR,CAR Headroom,Equity / Assets,OCER (NPLs - LLRs) / Equity,Internal Capital Generation,ROAA,ROAE,Operating Profits / Average Assets,(Savings + Current) / Total Liabilities,Market Funds / Total Liabilities,(Cash and Deposits + Securities) / Total Assets,GLP / Deposits
27,Ecuador,BP MACHALA,3/31/19,2019-Q1,0.021416378,0.018345492,0.018447964,0.0,-inf,-0.024788377225267975,,,,0.09933560227021362,inf,0.054157997722827984,,,,0.5241343013542566,0.0033273447371775307,0.13988889855234055,0.7247858736577665
28,Ecuador,BANCA MULTIPLE,6/30/20,2020-Q2,0.834363876,0.823970223,0.81228051,0.0,-inf,-0.07182543987911304,0.017883014,,,0.16027554969755167,inf,0.03411656863498761,0.00565281374626994,0.0682331372582995,0.004316796352261955,0.5274525756272002,0.017897882278658364,0.1729393410733894,0.8388465657261281
29,Ecuador,BP PACIFICO,3/31/19,2019-Q1,0.135079545,0.140117481,0.144285832,0.0,-inf,-0.045649241957509676,,,,0.1490166707708769,inf,0.11284872873401254,,,,0.5045435187791673,0.0,0.10449169179989208,0.9184007603205255
30,Ecuador,BP PICHINCHA,3/31/19,2019-Q1,0.270375045,0.255244034,0.250290528,0.0,-inf,-0.10427311188785678,,,,0.13901509642197551,inf,0.07466394847284694,,,,0.6402164268500137,0.01871075859292384,0.10977431819718644,0.8480244173692106
31,Ecuador,BANCA MULTIPLE,9/30/20,2020-Q3,0.833570341,0.823496145,0.812750468,0.0,-inf,-0.07476285256830427,-0.027012151,,,0.1837804312598359,inf,0.023883142704543763,0.004550525782881662,0.047766285409087526,0.002054588613308579,0.5192312787997881,0.017678331293811193,0.18172996845819778,0.8071790589373918
32,Ecuador,BP PROCREDIT,3/31/19,2019-Q1,0.00467931,0.008012951,0.010037016,0.0,-inf,-0.03418936963845294,,,,0.20113793266811125,inf,0.0018442166369658762,,,,0.3463585964930548,0.0,0.09370265218055353,1.8223718594851877
33,Ecuador,BP PRODUBANCO,3/31/19,2019-Q1,0.11765101,0.115743402,0.116482356,0.0,-inf,-0.03576740372135187,,,,0.11066857187505005,inf,0.11436492395185029,,,,0.5348096209368861,0.02627475729758342,0.1615194274314742,0.8425367120776858
34,Ecuador,BANCA MULTIPLE,12/31/20,2020-Q4,0.841790682,0.83199051,0.817169552,0.0,-inf,-0.07535728223237012,-0.021024543,,,0.1944924740015958,inf,0.022540555258784675,0.0046064847592573,0.04508111051756935,0.0017572782478733578,0.5395760675028898,0.01667973479893607,0.21582483921625314,0.7631144915035922
35,Ecuador,BP SOLIDARIO,3/31/19,2019-Q1,0.01320683,0.018921505,0.021924707,0.0,-inf,-0.11156522061375201,,,,0.21995176693059712,inf,0.08036261278569172,,,,0.11524874234145534,0.0,0.10682952816195646,1.5332600068114137
36,Ecuador,BP VISIONFUND ECUADOR,3/31/19,2019-Q1,0.000235553,0.001800103,0.002554753,0.0,-inf,-0.03063367638224578,,,,0.2558869025104073,inf,0.12256117523425501,,,,0.02578282379257704,0.0,0.05593809801710658,9.180768625122784
