Country,Bank,Date,Activos y Contingentes Ponderados (AYCP),Capital Nivel 1 (C1),Capital Nivel 1 + 2 (C1+2),C1 / AYCP,C1+2 / AYCP,Patrimonio Neto/Activos y Contingentes Totales,Activos y Contingentes/Patrimonio (veces),Préstamos Vencidos/Patrimonio Neto,Préstamos Vigentes/Préstamos Totales,Previsiones/Préstamos Vencidos,Previsiones/Préstamos Vigentes,Cartera Vencida/Cartera Total - Morosidad,Cartera Vencida/Cartera Total Neta de Previsiones,Renovados/Cartera,Refinanciados/Cartera,Reestructurados/Cartera,RRR+Medidas transitorias/Cartera,Vencidos+RRR+Medidas transitorias/Cartera,Cuenta Corriente,A la Vista,Plazo Fijo,CDA,Títulos de Inversión,Intereses Devengados,Local,Extranjera,Utilidad antes de Impuesto/Activo (Anual),Utilidad antes de Impuesto/Patrimonio (Anual),Disponible + Inversiones Temporales/Depósitos,Disponible + Inversiones Temporales/Pasivo,Activo/Pasivo,Activo/Pasivo + Contingencias,Gastos Personales/Gastos Administrativos,Gastos Personales/Margen Operativo,Gastos Administrativos/Margen Operativo,Gastos Personales/Depósitos (Anual),Gastos Administrativos/Depósitos (Anual),RRR/Cartera
Paraguay,Banco BASA S.A.,3/31/2019,4334741.7,397383,615388,0.091673974,0.141966475,0.090724812,11.02234308,0.128471045,0.981010316,1.260230714,0.024394629,0.018989684,0.005400027,0.149621879,0.008941452,0.003072882,0.161798893,0.180788577,0.222513942,0.193928525,0,0.575056865,0,0.008500668,0.388254732,0.611745268,0.032772977,0.374782474,0.333289396,0.240691129,1.104280711,1.056589368,0.529405319,0.244382219,0.461616479,0.022694576,0.042868055,
Paraguay,Visión Banco S.A.E.C.A.,3/31/2019,5057714,490032,734679,0.096888041,0.145259103,0.085049686,11.75783289,0.451094217,0.946540221,0.595346937,0.033624684,0.053459779,0.038322782,0.071462743,0.011117812,0.021996826,0.116177506,0.169637285,0.201463121,0.265142916,0.001109568,0.520888775,0,0.01139562,0.830481842,0.169518158,0.010324427,0.121826729,0.286784025,0.248724782,1.095020206,1.071226653,0.536267111,0.282321167,0.52645624,0.04265007,0.079531392,
Paraguay,Banco Río S.A.E.C.A.,3/31/2019,2223206.5,300049,341369,0.134962272,0.15354804,0.105199538,9.505745186,0.286345904,0.953247068,0.70162043,0.034411658,0.046752932,0.035177021,0.119719523,0.021267882,0.051934882,0.192922288,0.23967522,0.110897418,0.143104849,0.127132813,0.603466931,0,0.015397989,0.590470746,0.409529254,0.012792435,0.122967123,0.243861263,0.208460905,1.119696285,1.099783498,0.42353824,3.089423124,7.29431922,0.014295953,0.03375363,
Paraguay,Banco Familiar S.A.E.C.A.,3/31/2019,3525901,449525,738491,0.127492235,0.209447458,0.152817362,6.543759076,0.214968718,0.954038582,1.292761768,0.062279623,0.045961418,0.028662498,0.157872414,0.006713685,0.014395104,0.179513184,0.225474601,0.275642364,0.303739334,0,0.406791087,0,0.013827214,0.758200106,0.241799894,0.036499237,0.238607748,0.335341173,0.267589764,1.192282618,1.118497034,0.418550757,0.212323832,0.507283355,0.049086164,0.11727649,
Paraguay,Banco Atlas S.A.,3/31/2019,3483980.5,374828,699019,0.107586136,0.200638035,0.107939947,9.264410698,0.224196432,0.960481963,0.932980523,0.038386519,0.039518037,0.020441814,0.09981292,0.008855829,0.042724192,0.151392941,0.190910978,0.306791198,0.341289753,0.000563201,0.341427949,0,0.009927898,0.454661352,0.545338648,0.032808961,0.312907709,0.483154543,0.400070826,1.126700994,1.076011131,0.452572226,0.18431454,0.407259945,0.019085226,0.042170565,
Paraguay,Banco para la Comercialización y Producción S.A. - Bancop S.A.,3/31/2019,1592814.3,168697,251623,0.105911279,0.157973845,0.079527434,12.57427728,0.14567433,0.983740537,1.144693764,0.01891973,0.016259463,0.004030653,0.061856192,0.005227604,0.002436684,0.069520481,0.085779944,0.139371053,0.286538108,0,0.560044905,0,0.014045934,0.450282396,0.549717604,0.010561893,0.133032265,0.301128246,0.22422631,1.089117126,1.055892076,0.472450683,0.26582656,0.562654621,0.015259256,0.032298093,
Paraguay,Grupo Internacional de Finanzas S.A.E.C.A. - INTERFISA BANCO,3/31/2019,1633913.5,158501,233283,0.097006971,0.142775612,0.085854794,11.64757318,0.27398942,0.964929465,0.821976501,0.029874884,0.035070535,0.013750485,0.072984114,0.009127123,0.002341531,0.091316049,0.126386584,0.174126252,0.17477812,0.060510929,0.57461078,0,0.01597392,0.64262482,0.35737518,0.00769331,0.08730064,0.249619306,0.230918856,1.098958646,1.042982376,0.53132827,0.371760932,0.6996822,0.037649452,0.070859117,
Paraguay,Banking System Paraguay,3/31/2019,82408402.5,10817333,15787888,0.131264928,0.191581047,0.10973782,9.112628639,0.155461614,0.9726599,1.097986719,0.030862861,0.0273401,0.013412508,0.125199174,0.005269522,0.024051799,0.157063849,0.184403949,0.262393663,0.333192601,0.01372166,0.38207415,0,0.008617927,0.55916698,0.44083302,0.024847685,0.223521098,0.385818203,0.311569761,1.132341925,1.054674738,0.459971025,0.215263211,0.467992982,0.019719312,0.04287077,
Paraguay,Banco Nacional de Fomento,6/30/2019,5123049.4,1435176,1718167,0.280140964,0.335379745,0.173083157,5.777569682,0.100476248,0.963671176,0.909479686,0.034285894,0.036328824,0.015175503,0.097649385,0.002612975,0.010539152,0.118174108,0.154502932,0.314766035,0.520740906,0.028781435,0.132949015,0,0.002762609,0.760328398,0.239671602,0.042072611,0.266691165,0.597553075,0.569505965,1.217721409,1.17068425,0.566657633,0.236751473,0.417803378,0.026082405,0.046028507,
Paraguay,Banco de la Nación Argentina,6/30/2019,344091,78979,70077,0.229529398,0.203658335,0.124624847,8.02408208,0.456523558,0.918311988,0.844903154,0.075157963,0.081688012,0.020067921,0.420885284,0,0,0.420885284,0.502573296,0.177541346,0.351394626,0.004302422,0.465373234,0,0.001388371,0.160159773,0.839840227,0.011339828,0.095236272,0.408322946,0.38099666,1.142518158,1.14130924,0.655029619,0.438661694,0.669682228,0.033127139,0.050573497,
