,Country,Bank,Date,Month,Year,Quarter,Net Interest Income,Interest Income,Loans_IS,Other Interest Income,Interest Expenses,Deposits,Borrowings,Other Interest Expenses,Net Other Operating Income,Dividends,Fees and Commissions,Trading Gains,Other Market Sentiment Income,Net FX Position,Other,Operating Income,Operating Expenses,Personal,Operating Expenses_,Depreciation and Amortization,Operating Profits Before Provisions,Loans Provisions,Other Asset Provisions,Operating Profits,Non-Operating Income,Non-Operating Expenses,Net Income Before Taxes,Taxes,Discontinued Operations,Net Income Before Minority Interests,Minority Interest in Consolidated Subsidiaries,Net Income,Total Assets,AVG Total Assets,Total Assets Market Share,Cash and Deposits,Securities,Repos_Assts,Hold to Collect,Hold to Collect and Sale,Other_Sec,Derivatives_Assts,Loans_Assts,YoY Loan Growth,Consumer,Residential Mortages,Commercial/Corporate,Goverment,Other_Loans,(-) Loan Loss Reserves (LLR),Investments in Affiliates,Net Foreclosed Assets,Fixed Assets,Goodwill and Other Intangibles,Other Assets,Total Liabilities,Deposits_Liablts,Deposits Market Share,Savings,Current,Term,Repos_Liablts,Borrowings_Liablts,Bonds,Derivatives_Liablts,Other Liabilities,Subordinated Debt,Other Hybrid Instruments,Equity,AVG Equity,Common Stock,Hybrid Capital,Retained Earnings and Other Reserves,Revaluation of Assets,Net Income Equity,Capital regulatorio USD,Risk Weighted Asset,Anualized Factor Index,Minimum Regulatory Capital Adequacy Ratio (CAR),Non-Performing Loans (NPL),Gross Loan Portfolio (GLP),YoY GLP Growth,GLP Market Share,NPLs / Gross Loan Portfolio (GLP),LLR/ NPLs,LLR/GLP,Regulatory CAR,CAR Headroom,Equity / Assets,OCER (NPLs - LLRs) / Equity,Internal Capital Generation,ROAA,ROAE,Operating Profits / Average Assets,(Savings + Current) / Total Liabilities,Market Funds / Total Liabilities,(Cash and Deposits + Securities) / Total Assets,GLP / Deposits
0,Paraguay,Banco Atlas S.A.,2019-03-31,3,2019,2019-Q1,74796.97554000001,112911.010375,112911.010375,0,38114.034835,0,38114.034835,0,45517.44672600017,0,16903.634156,459.6397829999996,3459.63437900017,0,24694.538408,120314.4222660002,48999.245025,22175.69738,25941.220788,882.326857,71315.17724100017,-24862.208216,0,46452.96902500017,5418.709911,0,51871.67893600017,3801.028018,0,48070.65091800017,0,48070.65091800017,6324086.822119999,,0.047521038040591435,1474164.972786,771402.089093,0,0,0,0,77738.588691,3834719.468879,,0,0,0,0,0,-148754.613062,0,15464.489781,15495.665366,0,135101.547524,5612923.797191,4647720.06394,0.04897033303579319,1586219.232843,1425879.608198,1635621.222899,0,527491.6895280001,190920.692934,0,246791.350789,0,0,711163.0249290001,,187414.0,0,475678.374011,0,48070.650918,376060.6706293097,3483980.5,4.0,0.12,69970.495352,3983474.081941,,0.043979094162534434,0.017565194077503815,2.125961983171069,0.037342934835794726,0.17154733873594533,0.05154733873594533,0.11245307740582215,-0.209498423693604,0.2703776728144682,,,,0.536636332484758,0.03401448154873342,0.3550816307620248,0.8570813274334986
1,Paraguay,Banco BASA S.A.,2019-03-31,3,2019,2019-Q1,51592.95941800001,108923.38912,108923.38912,0,57330.429702,0,57330.429702,0,45480.19332600003,0,5185.560162,1790.132837999998,-500.0225639999844,0,39004.52289000001,97073.15274400004,44810.566982,23722.952506,19626.904197,1460.710279,52262.58576200004,-4991.099672,0,47271.48609000003,5113.091426,0,52384.57751600003,7707.0,0,44677.57751600003,0,44677.57751600003,6393630.699556,,0.048043611075731796,1112487.092564,281080.845373,0,0,0,0,84520.492707,4118982.013535,,0,0,0,0,0,-97752.38494599999,0,22663.088571,30090.201958,0,743806.964848,5789859.982203,4181254.954413,0.04405546048562709,810864.605036,930387.521922,2440002.827455,0,607520.8537969999,240166.58,0,760917.593993,0,0,603770.7173530001,,242570.0,0,316523.139837,0,44677.577516,393268.6244965487,4334741.7,4.0,0.12,20222.898403,4216734.398481,,0.04655437825237006,0.004795867249852141,4.833747517195594,0.023182011411772452,0.12402164199738516,0.004021641997385167,0.094433154763682,-0.19714129659402915,0.2959903568153927,,,,0.30074166427345383,0.041480550607135465,0.21796190668844467,1.0084853577346566
2,Paraguay,Banco Bilbao Vizcaya Argentaria Paraguay S.A.,2019-03-31,3,2019,2019-Q1,108901.445942,187219.269505,187219.269505,0,78317.823563,0,78317.823563,0,50936.05641199998,0,21992.510278,7439.396069999999,13362.88297799998,0,8141.267086,159837.502354,70579.978057,31242.456421,32172.524559,7164.997077,89257.52429699997,-49371.514526,0,39886.00977099997,2957.027803,0,42843.03757399997,4283.0,0,38560.03757399997,0,38560.03757399997,12662056.24706,,0.09514639401913468,3256195.733766,845421.530813,0,0,0,0,119840.001485,8119250.933832,,0,0,0,0,0,-387892.572923,0,42512.92127799999,90245.610597,0,188589.515289,11459347.275621,10262365.336838,0.10812859668099506,4325937.564792,2340627.830096,3595799.94195,0,632275.289981,290915.493818,0,273791.154984,0,0,1202708.971439,,450000.0,0,714148.933865,0,38560.037574,662732.8788898502,7270176.3,4.0,0.12,131398.454892,8507143.506755,,0.0939221537888025,0.015445661024486607,2.952032984267734,0.04559610080810302,0.12084587873107748,0.0008458787310774846,0.09498528106114333,-0.38702488770536875,0.12824395091312643,,,,0.5817578640862621,0.025386742091052898,0.32392979343551354,0.8289651778637798
3,Paraguay,Banco Continental S.A.E.C.A.,2019-03-31,3,2019,2019-Q1,156388.995495,330657.642487,330657.642487,0,174268.646992,0,174268.646992,0,89775.48414300023,0,41414.345407,30524.923681,6349.607723000227,0,11486.607332,246164.4796380003,106269.275202,42750.303244,58189.98166400001,5328.990294,139895.2044360003,-32644.871926,0,107250.3325100003,8353.571055999999,0,115603.9035660003,9295.0,0,106308.9035660003,0,106308.9035660003,21128569.739345,,0.15876625267300148,2788571.244037,2673073.160718,0,0,0,0,306203.3388490001,14265777.929053,,0,0,0,0,0,-474545.164107,0,320300.045642,113187.153537,0,661456.867509,18238026.658894,13712147.696853,0.14447695431588384,3036734.555457,3873081.805265,6802331.336131,0,3573726.462224,497082.566798,0,455069.933019,0,0,2890543.080451,,1595989.299372,0,1188244.877513,0,106308.903566,1573981.871636501,12236045.8,4.0,0.12,77454.959435,14740323.09316,,0.1627388666187551,0.005254631051536562,6.126724067362492,0.032193674528559334,0.10511526292949844,-0.014884737070501558,0.13680732373797722,-0.2522838488979147,0.1471127059616954,,,,0.3788686402293607,0.027255282388546766,0.25849569905266645,1.0749828122507001
4,Paraguay,Banco de la Nación Argentina,2019-03-31,3,2019,2019-Q1,8318.897648000002,9347.042306000001,9347.042306000001,0,1028.144658,0,1028.144658,0,1491.415351570002,0,1348.86465557,0.0,-24.0459469999987,0,166.596643,9810.312999570004,6545.12046381,4133.883586,2124.17537881,287.061499,3265.192535760004,-375.959689889999,0,2889.232845870005,7.759938,0,2896.992783870005,0.0,0,2896.992783870005,0,2896.992783870005,611790.40283225,,0.004597172022397079,164476.60873121,4930.758172,0,0,0,0,6486.74535879,424997.2354318,,0,0,0,0,0,-27713.18678137,0,0.0,9712.081043,0,1186.97409545,535598.1714917299,500654.46019234,0.005275105925955928,187106.49192466,74698.60297009,238849.36529759,0,1107.20527871,0.0,0,33836.50602068,0,0,76192.23134052,,78978.925726,0,-5683.68716935,0,2896.99278387,47213.09196862517,380684.3,4.0,0.12,6419.39327,452710.42221317,,0.004998098111679544,0.014179910501325433,4.317103753540559,0.061216144850141214,0.15391554590917533,0.03391554590917534,0.12453976229079805,-0.4510145941197943,0.15208861758741263,,,,0.4888087914220829,0.0,0.2769042569464116,0.9042372698312704
5,Paraguay,Banco Do Brasil S.A.,2019-03-31,3,2019,2019-Q1,5231.979587,9105.455867,9105.455867,0,3873.47628,0,3873.47628,0,487.9544860000041,0,213.271509,0.0,53.31644500000402,0,221.366532,5719.934073000004,5164.357221,2081.834444,2898.693099,183.829678,555.5768520000038,-91.185234,0,464.3916180000038,1.152141,0,465.5437590000038,0.0,0,465.5437590000038,0,465.5437590000038,1027641.301594,,0.007721997303123796,322955.966606,19866.348525,0,0,0,0,3862.829074,671295.4245169999,,0,0,0,0,0,-18080.386625,0,0.0,2241.481878,0,7419.250994,916839.137797,749417.602926,0.007896179006758229,97936.503183,36728.151847,614752.947896,0,43269.59,845.115584,0,123306.829287,0,0,110802.163797,,56711.0,0,53625.62003799999,0,465.543759,71001.36572888488,675462.0,4.0,0.12,0.0,689375.8111419999,,0.00761097551733402,0.0,inf,0.026227184552716692,0.09115774522412204,-0.028842254775877957,0.10782182812731642,-0.25464843442644525,0.016806305691030504,,,,0.1468792610158146,0.0009217708419719747,0.33360114526269014,0.9198820636857541
6,Paraguay,Banco Familiar S.A.E.C.A.,2019-03-31,3,2019,2019-Q1,111048.323414,146690.589705,146690.589705,0,35642.266291,0,35642.266291,0,72478.01559,0,36965.902635,6563.16285,354.0596340000047,0,28594.890471,183526.339004,93099.856929,38967.015624,40042.358713,14090.482592,90426.48207499998,-54792.759949,0,35633.72212599998,7659.353469,0,43293.07559499998,3888.881459,0,39404.19413599998,0,39404.19413599998,4744545.766199999,,0.03565190456467123,678863.2540579999,385978.134914,0,0,0,0,58676.964347,3321157.515596,,0,0,0,0,0,-212642.084376,0,1024.917827,25320.373269,0,273524.606189,3979380.134123001,3175397.103009,0.033457319183595964,964493.002146,875273.963628,1335630.137235,0,488743.649213,114529.396968,0,200709.984933,0,0,765165.632077,,300000.0,0,425761.437941,0,39404.194136,538818.8897289265,3525901.0,4.0,0.12,111343.154493,3533799.599971999,,0.03901451400506361,0.031508055661640305,1.9097903714356195,0.06017378132525821,0.07300339027245571,-0.04699660972754428,0.16127268442176634,-0.18800181622059006,0.2059904025173711,,,,0.4623250113750339,0.02878071285171168,0.22443484401771358,1.11286855953335
7,Paraguay,Banco GNB Paraguay S.A.,2019-03-31,3,2019,2019-Q1,71998.719791,120738.193982,120738.193982,0,48739.474191,0,48739.474191,0,28513.97367900003,0,10778.088216,7529.800018999997,603.1179790000315,0,9602.967465,100512.69347,34371.562585,14651.229782,18557.441731,1162.891072,66141.13088500002,-16174.632591,0,49966.49829400002,197.963633,0,50164.46192700002,4981.194955,0,45183.26697200002,0,45183.26697200002,7118769.304461,,0.053492514640411236,1029022.780858,577152.824913,0,0,0,0,83575.977811,5190875.727895,,0,0,0,0,0,-150092.140736,0,20699.245619,14162.056471,0,203280.690894,6217748.41945,5311332.346414,0.055962431103731856,1949777.212632,1003083.6353,2358471.498482001,0,764660.986409,245.239301,0,141509.847326,0,0,901020.885011,,353583.180704,0,502254.437335,0,45183.266972,601791.9081122058,4979829.8,4.0,0.12,53249.678892,5340967.868631,,0.05896635047243482,0.009970042921387017,2.818648747918538,0.028102048997061597,0.10401083123834592,-0.01598916876165407,0.1265697547533072,-0.16092350285631202,0.2005869907064292,,,,0.4749083830241558,3.944181791480283e-05,0.22562546095776484,1.0055796776183679
8,Paraguay,Banco Itaú Paraguay S.A.,2019-03-31,3,2019,2019-Q1,215148.975301,293000.131578,293000.131578,0,77851.156277,0,77851.156277,0,187827.7381790002,0,106729.996801,32965.93234900001,40956.85722800018,0,7174.951801000007,402976.7134800002,167174.985695,60529.033353,101955.938549,4690.013793,235801.7277850002,-37489.358629,0,198312.3691560002,-2057.403958,0,196254.9651980002,16837.648539,0,179417.3166590002,0,179417.3166590002,20564948.549442,,0.15453103820501207,4833303.982609,2250018.849715,0,0,0,0,236018.483114,12280113.090161,,0,0,0,0,0,-281857.812269,0,9683.338005,66390.137293,0,889420.6685449999,18134813.545791,14942573.749877,0.1574412406247762,6529792.043044,5506401.236,2906380.470833,0,1777827.485773,279436.551763,0,1134975.758378,0,0,2430135.003651,,750000.0,0,1500717.686992,0,179417.316659,1334399.959443417,12829432.7,4.0,0.12,136408.838515,12561970.90243,,0.1386890161252891,0.01085887235167954,2.066272356963188,0.022437387768067283,0.12863484636813807,0.008634846368138077,0.11816878597135796,-0.10899953400378345,0.2953207396123198,,,,0.6637064808332446,0.01540884614321584,0.34443669116381986,0.8406832124575195
9,Paraguay,Banco Nacional de Fomento,2019-03-31,3,2019,2019-Q1,199679.670569,223830.193205,223830.193205,0,24150.522636,0,24150.522636,0,33325.34088599998,0,8791.063402000002,21523.253701,1133.469266999979,0,1877.554516,233005.011455,102903.424748,60241.080874,30468.308023,12194.035851,130101.586707,-26007.995265,0,104093.591442,3086.054834,0,107179.646276,0.0,0,107179.646276,0,107179.646276,10482286.99665,,0.07876697033599796,2866515.015291,1378624.777252,0,0,0,0,79602.12095299999,5944008.316245,,0,0,0,0,0,-157406.932394,0,2017.893200999999,109427.813175,0,102091.060533,8622955.629643999,8194518.287806999,0.08634089060898031,4431699.282493999,2508231.330426,1254587.674887,0,119303.256953,50000.0,0,259134.084884,0,0,1859331.367006,,1091773.184359,0,660378.536371,0,107179.646276,817499.5963445895,4765446.1,4.0,0.12,68128.22120500001,6101415.248639,,0.06736198359143544,0.011165970259145515,2.310451228725868,0.025798429705159255,0.0920676916831897,-0.02793230831681029,0.1773784067923553,-0.10920948657125398,0.2305767507135357,,,,0.8048204016105457,0.005798475853002187,0.4049822137000914,0.7445727783312872
